symbol1,symbol2
ATP2B4,PPP3CA
GABRB2,PPP3CA
SLC6A4,PPP3CA
GABRG2,PPP3CA
AMPH,BIN1
SOS1,BIN1
REPS2,BIN1
FHL2,BIN1
ITGA3,BIN1
SYNJ1,BIN1
SH3GL2,BIN1
UBC,BIN1
TP73,BIN1
CALM1,BIN1
GRB2,BIN1
PARP1,BIN1
RPS6KA5,BIN1
ATF6,BIN1
HECTD1,BIN1
RPS6KC1,BIN1
PIAS2,BIN1
RPL8,BIN1
PPL,BIN1
LRIF1,BIN1
XRCC4,BIN1
ITCH,BIN1
RIN3,BIN1
SNX4,BIN1
TNK2,BIN1
UBE2I,BIN1
TSNAX,BIN1
PIAS1,BIN1
PIAS3,BIN1
MTF2,BIN1
RYR2,BIN1
ZNF451,BIN1
ZNF251,BIN1
PTPRD,BIN1
PSMA7,BIN1
GNL3,BIN1
DNM1,BIN1
FBP1,BIN1
SYN1,BIN1
BIN1,BIN1
RAB8A,BIN1
WBP2,BIN1
APPL1,BIN1
RIN2,BIN1
MAPT,BIN1
PTK2,BIN1
PAX6,BIN1
ATXN2,BIN1
RANBP3,BIN1
RAP1A,BIN1
DPM1,BIN1
FHL1,BIN1
RANBP2,BIN1
CACNA1C,BIN1
SYNJ2,BIN1
MAP4K3,BIN1
BIN2,BIN1
CLU,BIN1
ITGA6,BIN1
SH3GLB1,BIN1
ITGA1,BIN1
BCAT2,BIN1
ADGRA3,BIN1
RAB24,BIN1
PTGER4,BIN1
SMCHD1,BIN1
PWWP2A,BIN1
RANBP3L,BIN1
GAS6,BIN1
YEATS2,BIN1
ATF7IP2,BIN1
ST3GAL5,BIN1
ZNF518A,BIN1
AMPH,AP1B1
EPS15,AP1B1
CREBBP,AP1B1
AP2M1,AP1B1
SMAD2,AP1B1
ATM,AP1B1
CLTC,AP1B1
PRKDC,AP1B1
ZFP36,AP1B1
BARD1,AP1B1
EPN1,AP1B1
ARF6,AP1B1
AP1M2,AP1B1
SNCA,AP1B1
BUB1B,AP1B1
ATR,AP1B1
CRYBB1,AP1B1
ARRB2,AP1B1
SHBG,AP1B1
CABIN1,AP1B1
CLINT1,AP1B1
NTRK2,AP1B1
AP1B1,AP1B1
SMAP2,AP1B1
SNAP91,AP1B1
PIP5K1C,AP1B1
SLC2A8,AP1B1
AMPH,AP2B1
HTT,AP2B1
AP2M1,AP2B1
APP,AP2B1
EGFR,AP2B1
TGFBR2,AP2B1
UBC,AP2B1
DCTN1,AP2B1
APBB2,AP2B1
KPNA2,AP2B1
ATM,AP2B1
CLTC,AP2B1
TFRC,AP2B1
MYO6,AP2B1
SLC25A6,AP2B1
TARDBP,AP2B1
RNF11,AP2B1
HIP1,AP2B1
AP1M1,AP2B1
U2AF1,AP2B1
A2M,AP2B1
ERBB2,AP2B1
ATP6V1G1,AP2B1
MEX3B,AP2B1
RIBC2,AP2B1
ITGA4,AP2B1
MEA1,AP2B1
NUP54,AP2B1
TENT5C,AP2B1
NECAP2,AP2B1
POM121,AP2B1
THAP1,AP2B1
DHX58,AP2B1
MLH1,AP2B1
UTP25,AP2B1
LDLRAP1,AP2B1
TERF2IP,AP2B1
AP1M2,AP2B1
TFAP2A,AP2B1
TNRC6B,AP2B1
DBH,AP2B1
OCRL,AP2B1
ATXN10,AP2B1
ARRB2,AP2B1
GFAP,AP2B1
TGFBR1,AP2B1
EPHA2,AP2B1
MECP2,AP2B1
PINK1,AP2B1
AFF4,AP2B1
NOS3,AP2B1
CLINT1,AP2B1
TNRC6A,AP2B1
TNRC6C,AP2B1
AP2S1,AP2B1
DAB2,AP2B1
AP2A2,AP2B1
MEX3C,AP2B1
TOR1A,AP2B1
SMAP2,AP2B1
SNAP91,AP2B1
NDUFV2,AP2B1
ACVR1,AP2B1
JPH3,AP2B1
SLC2A8,AP2B1
AMPH,AP2A1
DNM2,AP2A1
EPS15,AP2A1
BRCA1,AP2A1
ITSN1,AP2A1
NUMB,AP2A1
SHC1,AP2A1
EGFR,AP2A1
UBC,AP2A1
PIN1,AP2A1
CD22,AP2A1
MYO6,AP2A1
DDX3X,AP2A1
RNF11,AP2A1
MAP1LC3A,AP2A1
ARF6,AP2A1
RALBP1,AP2A1
BIN1,AP2A1
SMG7,AP2A1
MEX3B,AP2A1
ITGA4,AP2A1
DVL2,AP2A1
UTP25,AP2A1
TNRC6B,AP2A1
OCRL,AP2A1
ARRB1,AP2A1
EHD1,AP2A1
SHBG,AP2A1
EPHA2,AP2A1
CLINT1,AP2A1
TNRC6A,AP2A1
TNRC6C,AP2A1
DPYSL2,AP2A1
AP2S1,AP2A1
DAB2,AP2A1
ABCB11,AP2A1
FCHO2,AP2A1
MEX3C,AP2A1
SNAP29,AP2A1
SMG6,AP2A1
SYT7,AP2A1
PATL1,AP2A1
SMAP2,AP2A1
PICALM,AP2A1
DUX4,AP2A1
AAGAB,AP2A1
SYT3,AP2A1
L1CAM,AP2A1
